,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-55-A494-01A,-16.69667836850288,-8.452642117283306,6.787700397525886,6.207651529809282,-7.924704314322106,-42.38840046090342,-22.923516552898818
TCGA-NJ-A55A-01A,3.555934505588081,4.766817496861252,4.260442065780899,8.482196607620006,5.374210892783021,10.912690911472268,28.710956961603763
TCGA-55-8096-01A,6.6436894345845525,2.495440514554509,4.767991651141271,4.177990512988014,7.014670246993294,6.713990996275049,1.9822234704027513
TCGA-86-8054-01A,-8.193372181802117,-6.582928418626187,1.5875353024852341,0.09479158667330309,-2.420822886342867,-23.57392558236645,-21.00381670746941
TCGA-49-4506-01A,3.36295620515128,-0.4306087932660141,-0.7423631094956468,-3.8264159544353227,-10.871226926814447,-14.256933197608733,-33.1841527107013
TCGA-97-7553-01A,5.588554759299034,3.5005593273592654,-2.873705421232628,-1.205118036257729,2.880479082960145,28.623995826634562,21.765119424280112
TCGA-55-7910-01A,8.247485572469834,0.13986808415020047,6.887862737002057,4.051728021326152,-2.2430842198723617,-21.39624257864478,-21.755497746559694
TCGA-55-7574-01A,9.955865287999929,8.29243400124559,4.6204900349136855,7.375961264766563,8.538877397968886,14.998482309065201,12.764787145354504
TCGA-97-7554-01A,11.622157232467382,2.7533701059317193,-6.439842843265683,-7.2800113345187984,6.0835059343512805,-1.814571226956858,-1.7958372826315157
TCGA-44-5643-01A,-2.686049529735187,0.884192489653108,-4.163830633501624,-4.355154080776821,-10.912405631124694,-8.737478145834336,-28.47087270123741
TCGA-49-6744-11A,-7.819454954131525,-5.709556521149497,-6.107275935341327,-2.162901777973218,10.620190663901402,13.868270690832173,56.17815353208171
TCGA-78-7166-01A,-4.409141117869558,-3.2749983784576338,2.4974968327065876,0.3205977190178118,-10.690356769938221,-31.626629701448255,-28.817207574995905
TCGA-38-4627-01A,1.873636946812898,-1.8080219536063846,-11.112969397620084,-12.259121795621912,16.709895608101643,6.477924476437462,14.807988018683671
TCGA-86-8673-01A,0.4967606431230472,-1.126083382098684,4.667844804425089,1.125172637268967,-0.12134524029911638,-12.804163907776509,-21.020550900171592
TCGA-67-3774-01A,4.7242420746798715,1.098862155719927,-1.9264358211203665,-0.47878449742768286,0.169344729301301,2.7096873551460163,16.32942878651185
TCGA-49-4512-01A,-7.568678790490488,-3.335077954870989,1.3648439449325542,1.5749934293296397,3.762756401561443,-3.2809978157344117,-0.2901994667025478
TCGA-91-6829-11A,-8.680256973699686,-5.667163824330644,-0.6951407466997207,3.1051648671727787,-1.9775383615366766,27.71786247859693,32.101802622403405
TCGA-55-A492-01A,-5.519196059528833,-4.881992139883175,3.566233082719228,1.7868947368835744,-9.715008778125041,-26.132161311412702,5.721873741325967
TCGA-55-6972-01A,-12.928511627473007,-9.311284846637548,3.7073951795722895,3.301145078719241,-18.774189458075305,-45.79479677069249,-10.339551365693504
TCGA-86-8279-01A,-5.8000615660955335,-5.196137827492058,5.688092321928532,4.093885242169934,4.314843305129192,-18.661045887278494,-8.536672676065841
TCGA-44-7659-01A,4.959391448546493,-0.4883000942578846,4.943031375206215,8.471118227434358,-6.530352464631402,-8.717195857566692,10.93823376228864
